house_name,sale_status,house_type,house_address,house_price
春熙广场,在售,住宅,东坡区/眉山东站/同运街春熙广场,8800
龙城1号,在售,底商,仁寿县/仁寿县/仁寿县龙正镇椰江村,50
万景進园,在售,住宅,东坡区/宏远百货/阜成路万景進园,9000
北湖春天,在售,住宅,彭山区/彭山区/三段华西路80号,7000
中海名城,在售,住宅,东坡区/宏远百货/南湖公园南侧中海名城,7300
阳光1519云梦洲,在售,住宅,东坡区/岷东新区/苏堤路阳光1519云梦洲,13000
中铁瑞景汇中心,在售,商业类,金牛/五块石/二环与蓉北商贸大道交界处（城北客运站中心对面）,14000
万邦悦城,在售,底商,金堂/金堂/韩滩路46号,20000
和信香榭澜郡,在售,底商,新都/新都城区/新都大道（成都医学院旁）,12000
永兴·一品,在售,住宅,天府新区南区/仁寿/迎宾大道永兴.一品,8250
美的云溪郡,在售,住宅,天府新区南区/仁寿/仁寿大道美的云溪郡,9400
美的云溪郡,在售,别墅,天府新区南区/仁寿/仁寿大道美的云溪郡,220
恒大名城,在售,商业类,温江/温江大学城/凤溪大道778号,12000
朗基香颂天府,在售,底商,天府新区南区/仁寿/仁寿县视高产业园区清水镇天府大道60号,27000
蜀镇尚楠湾,在售,住宅,双流/蛟龙港/九江街道马家寺社区,13280
锦巷兰台,在售,写字楼,郫都/成外/犀浦镇金粮路,6600
王府井绿洲郡,在售,住宅,东坡区/宏远百货/大雅街北二段一号,8500
峨眉见山府,在售,住宅,峨眉山市/峨眉山市/名山南路峨眉见山府,11000
阳光珑悦台,在售,住宅,东坡区/眉山东站/铁环东路阳光珑悦台,8300
复地天府湾,在售,住宅,彭山区/彭山区/剑南大道复地天府湾,8300
南湖世家,在售,住宅,东坡区/宏远百货/滨江大道南湖世家,8900
鹭湖云锦台,在售,住宅,东坡区/宏远百货/东坡区阜成路东段北侧,11000
大城小院,在售,住宅,东坡区/宏远百货/联通路大城小院,7800
观池观天府,在售,住宅,东坡区/岷东新区/富牛大道观池观天府,9000
龙光眉山玖龙府,在售,住宅,东坡区/岷东新区/彭山路龙光眉山玖龙府,8200
东湖郡一期,在售,底商,新都/新都城区/新繁镇文庙街88号,20000
朗基御香,在售,商业,郫都/成外/成灌路与和心路交汇处（后花园对面）,36000
慧生时代广场,未开盘,住宅,龙泉驿/十陵/成洛大道与汽贸大道交汇处（西河镇汽贸大道68号）,5300
东湖郡,在售,底商,新都/新都城区/新繁镇文庙街88号,20000
家园佳居,在售,住宅,仁寿县/仁寿县/仁寿县视高镇奋勇社区景观大道,10250
东城国际(简阳),在售,商业,简阳/河东新区/东城新区东溪,26000
东城国际(简阳),在售,底商,简阳/河东新区/东城新区东溪,26000
三盛都会城,在售,商业,龙泉驿/东山/龙华路东侧三盛都会城,20000
三盛都会城,在售,底商,龙泉驿/东山/龙华路东侧三盛都会城,8000
驿都城,在售,商业,龙泉驿/龙泉驿城区/驿都大道中路900号（龙泉驿世纪广场旁）,36000
雄飞新园紫郡,在售,底商,高新/市一医院/新园大道8号,30000
筑鼎凯旋国际,在售,住宅,雁江区/雁江区/外环路158号,8800
凤凰1号,未开盘,住宅,青白江/青白江/凤凰大道二段888号（凤凰湖公园正对面）,价格待定
